,textID,text,selected_text,sentiment
0,28ac06f416, good luck with your auction,good luck with your auction,positive
1,92098cf9a7,Hmm..You can`t judge a book by looking at its cover,Hmm..You can`t judge a book by looking at its cover,neutral
2,7858ff28f2," Hello, yourself. Enjoy London. Watch out for the Hackneys. They`re mental.",They`re mental.,negative
3,b0c9c67f32,  We can`t even call you from belgium  sucks,m  suck,negative
4,7b36e9e7a5,not so good mood..,not so good mood..,negative
5,e158681396,Jumping im the shower after a long day of work  it shall feel ahmazing I CAN MATH!,ahmazing,positive
6,cbee62d9e7, OK! Oops sorry,sorry,negative
7,a12462e5d2,"says Finally, Im home.  http://plurk.com/p/rr121","says Finally, Im home.",neutral
8,60aebb5378,"I am native, not french ! I hate this ! !  ! Trying to find animals in french, I SUCK, SOMEONE HELP PLEEEEEASE  ? Alone- Allison Iraheta ?","SUCK,",negative
9,72beba1ba7, what a cute dog,what a cute dog,positive
10,4b7985d2ec,talking to nat,talking to nat,neutral
11,a863b7e9b8,will be attending CIC`s parents` orientation tomorrow...need to wake up early,will be attending CIC`s parents` orientation tomorrow...need to wake up early,neutral
12,b4061742ff,"I miss ya, Boyfriend!  When am I gonna see ya again? Br!Tt!!!",miss,negative
13,03bc84e879," ?? Sorry you posted the vid again, but it won`t load for me...",Sorry,negative
14,c57d6bb788,Thinking I`m super excited about this week!,super excited,positive
15,fb2c3e992f,Y AM I STILL AWAKE!!!! SMH.... THIS SUCKS!!!,SUCKS!!,negative
16,9fd4a227a8,"Omg I just woke up after only sleeping for 3hrs, and my arm is just aching... It hurts so bad",It hurts so bad,negative
17,332abe0130,Download movie  'Jackass 3' http://tinyurl.com/caotku cool #movie,cool #movie,positive
18,048826b880," Yeah, she`s done it several times. My Dumerils boa did it a few times w/ no prob. Just wonder if my hognose needs bigger food.","Yeah, she`s done it several times. My Dumerils boa did it a few times w/ no prob. Just wonder if my hognose needs bigger food.",neutral
19,fe54c45844,"can`t believe I just drove all the way back to school...whatever HAPPY MOTHER`S DAY: Mommy, Precious, Candis and Granny",HAPPY,positive
20,8cf2cb4928,http://twitpic.com/4wsue - yeah  well thanks *blushes*,thanks,positive
21,b9b90ee9d4," You too, my friend","You too, my friend",neutral
22,5a40eec810, unfortunatley it is the tooth kind of crown,unfortunatley,negative
23,8142f5277b,rickbaker24 follow me please. i only have 6,rickbaker24 follow me please. i only have 6,neutral
24,86d0e638bd,gaahhhh! i want my #comet09 stream back...,gaahhhh!,negative
25,b75ca1b45b, :  i know i*m late but i didn`t had internet. so happy bithday to you and pierre!,:  i know i*m late but i didn`t had internet. so happy bithday to you and pierre!,neutral
26,327c0a62be, awwww this made me realize I have to take down my bulletin board too!  There`s so many memories up there.,awwww,positive
27,58976edd1f, I`m not comfortable with this announcement.,not comfortable,negative
28,3b578b3b7e,Lookin` at spreadsheets so long my eyes are crossing...,my eyes are crossing...,negative
29,13faeecfe3, Sorry we couldn`t get the projector working with the windoze laptop  but a ton of people came up afterwards and saw it live,Sorry,negative
30,37bdf56f2c,I`m wondering how big the rumored new `large screen` Kindle will be - http://is.gd/wyFI -and when we can start seeing K12 textbooks on it,I`m wondering how big the rumored new `large screen` Kindle will be - http://is.gd/wyFI -and when we can start seeing K12 textbooks on it,neutral
31,45c31af0cc,need a camera blower.. my camera censor is dirteeh..,dirteeh..,negative
32,b4de637c68," Yes, we just need ppl to vote. GET OUT THE VOTE. ;) Ciao for now.  Till tomorrow...Is Anybody Listening? Yes, I am.  Night!","Yes, we just need ppl to vote. GET OUT THE VOTE. ;) Ciao for now.  Till tomorrow...Is Anybody Listening? Yes, I am.  Night!",neutral
33,3dc737fc39, Don`t we all!,Don`t we all!,neutral
34,472d565f46,  Welcome to my network buddies,Welcome to my network buddies,positive
35,e7efc04282,morning everyone!,morning everyone!,neutral
36,677b75b53e,"  cool, i saw it now in the link thanks",cool,positive
37,7df3017e05," I loves me some Jeff Lynne, and I do enjoy sitar work, but that was kinda weird. To each his own, I s`pose!","I loves me some Jeff Lynne,",positive
38,f1ea8affc9, and the grease drip pan doubles as a butter dish (in a pinch),and the grease drip pan doubles as a butter dish (in a pinch),neutral
39,2a3c809709," just the mere fact that you twittered and someone read it, then it matters p.s. love your song Gravity",love,positive
40,1a2654426e, I`m learning to,I`m learning to,neutral
41,42e7d844f7,waaah.. I can`t open my eyes wider! i wanna go back to sleep but i can`t sleep properly..,i can`t sleep properly..,negative
42,9d0e2f7af3,The time is not my friend today,The time is not my friend today,negative
43,339b3de556, dave why why why can`t this happen when I`m not working and can listen?! :::whining big time:::,dave why why why can`t this happen when I`m not working and can listen?! :::whining big time:::,neutral
44,f0091efc9d,Hahahahaha i rember when i riped that william picture out of one of claires mags. I beated zoe to it,Hahahahaha i rember when i riped that william picture out of one of claires mags. I beated zoe to it,neutral
45,2cf10632e6,"Hummmmm..... ohh  i miss you so much!!! realy, but i hope you have a nice friends, like us :]","Hummmmm..... ohh  i miss you so much!!! realy, but i hope you have a nice friends, like us :]",neutral
46,2a80342b9a," Yay! Congratulations, oh newly minted graduate. You`ll have to let me buy you lunch and iced chocolates (PLURAL) to celebrate!","Yay! Congratulations, oh newly minted graduate. You`ll have to let me buy you lunch and iced chocolates (PLURAL) to celebrate!",positive
47,6f6d5f1468,chilling at the casa,chilling at the casa,neutral
48,75eb2bbec3," hi there, nice to meet you.  I am new to twitter and I guess you are too?",nice,positive
49,1b197386f9,rblpnqte : 'sheesh I am sending one up to you .  I think you could use it  lol' RB DELUX... ? http://blip.fm/~5z36j,rblpnqte : 'sheesh I am sending one up to you .  I think you could use it  lol' RB DELUX... ? http://blip.fm/~5z36j,neutral
50,fb6c33f3d2,that`s two and a half hours completed now. chillaxing until half 2,that`s two and a half hours completed now. chillaxing until half 2,neutral
51,f562ffd0a9,Playing see you again-miley cyrus in the shop,Playing see you again-miley cyrus in the shop,neutral
52,f22dd850f7,happy mother`s day to all the moms out there. i hope i never join that crowd,happy mother`s day,positive
53,c3f0a11d84,I wish I could go to the Love Music Hate Racism gig this weekend   I`m not in the right part of the world even,Hate Racism gig this weekend   I`m not in the right part of the world even,negative
54,a66407ce97, Or a Mexican wrestler. They year capes too. You probably haven`t the build for it though.,Or a Mexican wrestler. They year capes too. You probably haven`t the build for it though.,neutral
55,fe74ac7470,woke up from napping  finally got the sleep i needed,finally got the sleep i needed,positive
56,bc8cd3a3e0,"  I read somewhere they were restoring the name, hope it happens soon",", hope",positive
57,bb0d3341ad,_Souljaa I couldn`t eat 2,_Souljaa I couldn`t eat 2,neutral
58,107e26abb0,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,Quite excited,positive
59,b380057828,"Field day over. Lots of great action fotos. Ate lunch, need 2 showr, tidy hse, get ready 4 stamp club. Btw Mexican skin got 2 tan 2day","Field day over. Lots of great action fotos. Ate lunch, need 2 showr, tidy hse, get ready 4 stamp club. Btw Mexican skin got 2 tan 2day",neutral
60,7d57cdba79,"... And, I was the only person who stood up for them. The world is full if spineless ****. This makes me sad",The world is full if spineless ****. This makes me sad,negative
61,5cc492fd3f,home from taking Nick home - a little lighter in pocket after being flashed by a speed camera,home from taking Nick home - a little lighter in pocket after being flashed by a speed camera,neutral
62,950e4ad498,im so tired of my responsabilities i wish i was a kid it seems that everyone around me is all about money and not me anymore,tired,negative
63,4e53704d24,in about 30 minutes Happy Mothers Day to alll the amazing moms out there!!!  going to bed!!,Happy,positive
64,139fd0525f,Tweet Later! Byee,Tweet Later! Byee,neutral
65,629f6069b0,I plead temporary insanity for agreeing to a metric century cycling event tomorrow.,insanity,negative
66,4a6cc6c4c5, Unfortunately for us it looks like there are NO funny people on twitter  Should we move to FB or start our own...flitter,Unfortunately,negative
67,fe4778b3f9,is sitting thru the boring bits in Titanic waiting for the good bit to start in couple of hours,is sitting thru the boring bits in Titanic waiting for the good bit to start in couple of hours,neutral
68,aad993ccf6,   Just saw it tonight as well... Great movie!!  Hope you`re well mate! Cheers E,.. Grea,positive
69,e760f919ea, It was fun  At a friends house cuz you know I don`t have a yard big enough for a firepit. SNIFFLE!,fun,positive
70,5ee5224aeb, Thanks!,Thanks!,positive
71,904ec4d68f,Hate fighting,Hate fighting,negative
72,2bba533231,_EN  we`re waiting you here in Belgrade!! Can`t wait!!,we`re waiting you here in Belgrade!! Can`t wait!!,neutral
73,be41d1d9a4,there`s not many things better than sleeping with my windows open,there`s not many things better than sleeping with my windows open,positive
74,7b7e0fbb51,I`ve been up late this week watching Jay Leno. Tonight is his last show  But now he`ll move up to 10pm not sure if the material will bsame,I`ve been up late this week watching Jay Leno. Tonight is his last show  But now he`ll move up to 10pm not sure if the material will bsame,neutral
75,6bcdf5e092, ugh... I know the economy is depressing...,economy is depressing...,negative
76,5d4603189e," lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",would help me study for the aptitude tests,positive
77,98c59de450,Eating a bagel  yummy,Eating a bagel  yummy,positive
78,f836c77dc1,The 22nd can`t get here fast enough!,can`t get here fast enough!,negative
79,a81ec7454b, lol. I see what you did there.,lol.,positive
80,e37be6b76b,'leave the pieces' - the wreckers... hmm,'leave the pieces' - the wreckers... hmm,neutral
81,c94b007b60,"Noooo my favorite coworker just got a new job, he`s doing marc jacobs shows now, not fair! I don`t want him 2 go!",not fair!,negative
82,64186e131d, you`ve go mail,you`ve go mail,neutral
83,a4098e11c0,I need to relocate to the west coast.. This weather here is killin me!!!,I need to relocate to the west coast.. This weather here is killin me!!,negative
84,3ba80b464d," ... Thanks Okiebud!  I get the message..Sorry, the content you selected is not currently available..","Thanks Okiebud!  I get the message..Sorry, the content you selected is not currently available.",neutral
85,bdd8120d38,http://twitpic.com/4jaw9 it`s the frog who`s been attacking Chelsey..LOL! Funny,http://twitpic.com/4jaw9 it`s the frog who`s been attacking Chelsey..LOL! Funny,neutral
86,bd890209f5, Sad  nothing.,Sad,negative
87,5294fb0a41,says np- Because of You -- Ne-Yo  (music) http://plurk.com/p/svm3r,says np- Because of You -- Ne-Yo  (music) http://plurk.com/p/svm3r,neutral
88,1729bd8f2a,why the hell is it raining!! i hate the rain.,why the hell is it raining!! i hate the rain.,negative
89,82c67e8bd9,really rather drunk  drunk thoughts - how am i getting to work tomorrow?! is loz alive?! does gandhi read comic books?! we will never know,really rather drunk  drunk thoughts - how am i getting to work tomorrow?! is loz alive?! does gandhi read comic books?! we will never know,neutral
90,01e4848f45,  sucks,sucks,negative
91,e047b4ae56,stranded @ delhi Airport  flight delayed,delayed,negative
92,86707383fb, sounds like an episode of TV Wine Library with .,sounds like an episode of TV Wine Library with .,neutral
93,ee91ba580f, Happy Mother`s Day ~ Did you watch SNL?  If not U missed a hoot with Jimmy Fallon,Happy Mother`s Day,positive
94,b0a371972f,just bought a good chocolate and a magazine... Later I`ll play comanche 4... My good saturday,good,positive
95,3aec7aa625,"the dog dug a hole in the backyard well iwas sleeping, now im grounded",grounded,negative
96,d55d931e67,"P9 for Danica and your team... Not the end of the world, now is just hopes for a great race","P9 for Danica and your team... Not the end of the world, now is just hopes for a great race",neutral
97,9aeaa09268, http://twitpic.com/4jdtj - have a safe journey back home hope you come back soon,have a safe journey,positive
98,1cd4dc8b6e," yes super lakas ng ulan. buti nalang i have a red bandana, body ko lang ang wet look  hahah!",hahah,positive
99,e615c53e0b,heading to Sam Adams Brewery... but can`t sample it when I get there,but can`t sample it when I get there,negative
100,c233ff4f9b,Not feeling very well.,Not feeling very well.,negative
101,31f45cd825,NW Macedonia: Few rainy days in a row.,Few rainy days in a row.,neutral
102,41ee90b5b5,Had interesting WKND. Sleeping Saturday & Productive Sunday!!,Had interesting WKND.,positive
103,d05910e0d1, Ohh.. #twpp is falling silent..  I was waiting to track ur US version.. Next time maybe.. Btw sunny california sounds good,s good,positive
104,9797e9cd45,Iï¿½m JBobsessed  xD I miss them soooooo much!  They should have a live web cast on bookface ?  EVERY thursday xD,obsessed  xD I miss them soooooo much!,negative
105,e0e73ceffb,its too early  i wanna go back to sleeep,its too early  i wanna go back to sleeep,neutral
106,58cf1aad0e,"Apple is also rotten in the center, just my luck",Apple is also rotten in,negative
107,755a645215, good luck with the pump!,good luck,positive
108,2c1f995172,I always forget how much fun kyle is!,forget,negative
109,c39e4f2a56,and were going to pune tomorrow,and were going to pune tomorrow,neutral
110,8976579aa1,"Mom, where ever you are; Happy Mothers day",Happy,positive
111,f4f02f28db,Miss Cauzinhoooo already,Miss Cauzinhoooo already,negative
