,Sentence,Sentiment,target,cleaned_text
0,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,1,GeoSolutions technology leverage Benefon GPS solution provide Location Based Search Technology Communities Platform location relevant multimedia content new powerful commercial model
1,"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,-1,$ ESI low down $ 1.50 $ 2.50 BK real possibility
2,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,1,quarter 2010 Componenta net sale double EUR131 m EUR76 m same period year early move zero pre tax profit pre tax loss EUR7 m
3,"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,0,accord finnish russian Chamber Commerce major construction company Finland operate Russia
4,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,0,swedish buyout firm sell remain 22.4 percent stake eighteen month take company public Finland
5,$SPY wouldn't be surprised to see a green close,positive,1,$ SPY surprised green close
6,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,-1,Shell $ 70 billion BG deal meet Shareholder Skepticism
7,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,-1,SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 2008 2:45 pm Company update year outlook estimate result remain loss year
8,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,1,Kone net sale rise 14 year year month 2008
9,"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,0,"Stockmann department store total floor space 8,000 square metre Stockmann investment project price tag EUR 12 million"
10,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,1,circulation revenue increase 5 Finland 4 Sweden 2008
11,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,-1,$ SAP Q1 disappoint software license down real problem Cloud growth trail $ MSFT $ ORCL $ GOOG $ CRM $ ADBE https://t.co/jNDphllzq5
12,"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,1,subdivision sale revenue year EUR 480.7 million EUR 414.9 million 2008 operate profit EUR 44.5 million EUR 7.4 million
13,Viking Line has canceled some services .,neutral,0,vike Line cancel service
14,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,0,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 10.30 total 56,955 new share Ahlstrom Corporation subscribe option right company stock option program 2001 II 2001"
15,$FB gone green on day,positive,1,$ fb go green day
16,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,1,$ MSFT SQL Server revenue grow double digit SQL Server Premium revenue grow 30 http://stks.co/ir2F
17,"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,0,accord L+ñnnen Tehtaat CEO Matti Karppinen company aim deliver fish product customer day early currently
18,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,0,company share quote NASDAQ OMX Helsinki Rautaruukki Oyj RTRKS
19,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,0,Elcoteq SE list Nasdaq OMX Helsinki Ltd.
20,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,0,contract turntable anode vibrocompactor deliver Gansu Hualu Aluminum Co Ltd unnamed costumer
21,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,1,aviva Friends Life forecast ahead 5.6 billion pound merger
22,"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,0,stead base soft drink usual Teho energy drink fresh water
23,The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,0,company plan increase unit specialist staff dozen depend market situation 2010
24,The company closed last year with a turnover of about four million euros .,neutral,0,company close year turnover million euro
25,Shire CEO steps up drive to get Baxalta board talking,positive,1,shire ceo step drive Baxalta board talk
26,Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,1,Costco Premier Retail Dividend play https://t.co/Fa5cnh2t0 t $ cost
27,"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,0,"storey eco efficient building gross floor area 15,000 sq m. include apartment"
28,"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,0,installment Cinema Series conclude profile finnish inventor Olavi Linden personal artistic journey work Fiskars lead dozen design award
29,All are welcome .,neutral,0,welcome
30,"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,1,Stockmann swedish sector company AB Lindex enter agreement September 30 2007 Stockmann wholly own subsidiary public tender offer Lindex issue share
31,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,0,HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.9.2008 13.32 Huhtamaki Capital Markets Day institutional investor analyst hold Espoo September 16 2008 start 13.30 pm finnish time
32,`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,1,` ` pleased welcome Tapeks Noma Cramo group
33,- Profit before taxes was EUR 105.9 82.7 million .,neutral,0,profit taxis EUR 105.9 82.7 million
34,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,1,royal dutch Shell Buy BG Group nearly $ 70 billion
35,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,0,FinancialWire tm not press release service receive no compensation news opinion distribution
36,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,0,ASSA ABLOY Kaupthing Bank give ` neutral recommendation share price target 174 crown $ 24.7 19 euro swedish lock maker Assa Abloy AB
37,"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,1,item include restructuring cost EUR1 .6 m year early EUR13 .1 m. Diluted EPS stand EUR0 .3 versus loss share EUR 0.1
38,In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,0,2005 bank post net profit Lt 8.2 mn
39,$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,-1,$ AAPL afternoon selloff usual brutal ready lose ton money
40,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,-1,$ tsla recall pretty single model X @cnnbrk get short work you jump money trade
41,"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,-1,Dolce Gabbana ask European Union declare Marimekko Corporation ` ` Unikko floral pattern trademark invalid continue dispute company
42,InterContinental Hotels first-quarter global room revenue lags estimates,negative,-1,InterContinental Hotels quarter global room revenue lag estimate
43,"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,1,accord finnish pension insurance company Varma Varma recipient third revenue earning relate pension cover competitive tendering Finland
44,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,1,portion $ 12.5 million record winning prior patent dispute finnish phone maker Nokia Oyj
45,"L&G still paying price for dividend cut during crisis, chief says",negative,-1,l&g pay price dividend cut crisis chief say
46,The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,0,volume investment phase project estimate usd 300mn EUR 215.03 mn
47,"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,0,Russia account 9 Lagardere magazine division revenue EUR 114.40 mn usd 148.11 mn 2009 USA 18
48,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,1,company estimate carry investment lead increase net sale 2010 2009 reach EUR 141.7 million
49,Profit of the accounting period was EUR 0.3 mn .,neutral,0,profit accounting period EUR 0.3 mn
50,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,1,brewery record 5.2 percent growth domestic beer sale year 270.21 million liter 256.88 million liter sell 2005
51,"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,1,August October 2010 company result taxis total EUR 9.6 mn EUR 0.5 mn corresponding period 2009
52,"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,1,Systeemitiimi sale project resource strengthen director Paul Skogberg say
53,Tesco share price jumps as Q3 sales top estimates,positive,1,tesco share price jump Q3 sale estimate
54,The fine print is here .,neutral,0,fine print
55,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,1,price log clearly improve 2009 price pulpwood go
