,label,text,target,cleaned_text
0,neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",0,"technopoli plan develop stage area no 100,000 square meter order host company work computer technology telecommunication statement say"
1,negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",-1,international electronic industry company Elcoteq lay ten employee Tallinn facility contrary early layoff company contract rank office worker daily Postimees report
2,positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,1,new production plant company increase capacity meet expect increase demand improve use raw material increase production profitability
3,positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",1,accord company update strategy year 2009 2012 Basware target long term net sale growth range 20 -40 operate profit margin 10 -20 net sale
4,positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,1,financing ASPOCOMP GROWTH Aspocomp aggressively pursue growth strategy increasingly focus technologically demanding HDI print circuit board pcb
5,positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",1,quarter 2010 Componenta net sale double EUR131 m EUR76 m same period year early move zero pre tax profit pre tax loss EUR7 m
6,positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",1,quarter 2010 net sale increase 5.2 EUR 205.5 mn operating profit 34.9 EUR 23.5 mn
7,positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,1,operate profit rise EUR 13.1 mn EUR 8.7 mn corresponding period 2007 represent 7.7 net sale
8,positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",1,operate profit total EUR 21.1 mn EUR 18.6 mn 2007 represent 9.7 net sale
9,positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,1,TeliaSonera TLSN say offer line strategy increase ownership core business holding strengthen Eesti Telekom offering customer
10,positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",1,STORA ENSO norske skog M REAL UPM KYMMENE Credit Suisse Boston CFSB raise fair value share large nordic forestry group
11,positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",1,"purchase agreement 7,200 ton gasoline delivery Hamina terminal Finland sign Neste Oil oyj average Platts index September plus dollar month"
12,positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",1,Finnish Talentum report operating profit increase EUR 20.5 mn 2005 EUR 9.3 mn 2004 net sale total EUR 103.3 mn EUR 96.4 mn
